Feature,Entry Screen,Primary Store,Primary Service,Cloud Path,Mesh Path,Offline Mode,Risk,Current Status,Notes
Direct messaging,src/core/screens/messages/ConversationScreen.tsx,src/core/stores/messageStore.ts,src/core/services/HybridMessageService.ts,user_inbox/{uid} + conversations/{id}/messages,BLE mesh relay,Queue + retry + local merge,P0,In progress,Identity alias merge was source of hidden messages
Media messaging (image/voice/location),src/core/screens/messages/ConversationScreen.tsx,src/core/stores/messageStore.ts,src/core/services/HybridMessageService.ts + FirebaseStorageService,conversation metadata media fields,BLE fallback payloads,Local send then cloud sync,P0,In progress,Needs deterministic recipient UID mapping
New chat / contact bootstrap,src/core/screens/messages/NewMessageScreen.tsx,src/core/stores/messageStore.ts,src/core/services/ContactService.ts,users/{uid}/contacts,N/A,Should still open conversation if contact sync fails,P1,In progress,Graceful fallback added for QR contact failure
Family member add (manual + QR),src/core/screens/family/AddFamilyMemberScreen.tsx,src/core/stores/familyStore.ts,src/core/services/ContactService.ts + IdentityService,families + users/{uid},N/A,Local save then cloud sync,P0,In progress,Now supports AFN/UID/public code
Family list sync + realtime status,src/core/screens/family/FamilyScreen.tsx,src/core/stores/familyStore.ts,src/core/services/FirebaseDataService.ts,users/{uid}/status_updates + devices/{id}/status_updates,N/A,Local cache + delayed cloud sync,P0,In progress,UID/device dual subscription enabled
Family location tracking,src/core/screens/family/FamilyScreen.tsx,src/core/stores/familyStore.ts,src/core/services/FamilyTrackingService.ts,users/{uid}/location + device location docs,Mesh location share,Adaptive throttle + mesh first,P0,In progress,Timestamp sanity fixes applied
Family group chat,src/core/screens/family/FamilyGroupChatScreen.tsx,local component + message store,GroupChatService + HybridMessageService,groups/conversations messages,BLE broadcast family-group channel,Dual channel,P0,In progress,Participant/channel validation hardening required
Quick family message chips,src/core/screens/family/FamilyScreen.tsx,src/core/stores/familyStore.ts,src/core/services/HybridMessageService.ts,Conversation write via hybrid,Mesh direct send,Should target all non-self members,P1,Fixed in this pass,Argument order bug fixed
Family map member actions,src/core/screens/map/DisasterMapScreen.tsx,src/core/stores/familyStore.ts,Navigation to Conversation + map deep links,N/A,N/A,N/A,P1,Fixed in this pass,Conversation target now UID-first
SOS trigger/cancel/ack,global + family flows,src/core/services/sos/SOSStateManager.ts,src/core/services/sos/UnifiedSOSController.ts,sos_broadcasts + ack listeners,BLE SOS beacon + mesh SOS,Multi-channel retries,P0,In progress,senderUid alias propagation + ACK dual-path hardened; full scenario matrix with kill/restart still pending
Notification routing,global,notification state in service,src/core/services/notifications/NotificationCenter.ts,FCM/local notification payloads,N/A,Local fallback banners,P1,Pending audit,Large any-typed surface
Settings + policy + legal screens,src/core/screens/settings/*.tsx,N/A,screen-level handlers,Public URLs + local settings,N/A,N/A,P2,Pending audit,External URL health currently unresolved
